REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1995-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.9,,,,1
1995-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.6,,,,1
1995-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.5,,,,1
1995-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,54.7,,,,1
1995-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.6,,,,1
1995-10,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.0,,,,1
1995-11,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,56.8,,,,1
1995-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.8,,,,1
1996-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.8,,,,1
1996-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.2,,,,1
1996-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,57.2,,,,1
1996-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,62.0,,,,1
1996-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,68.4,,,,1
1996-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,65.6,,,,1
1996-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,55.7,,,,1
1996-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.1,,,,1
1996-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.2,,,,1
